trip_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,PU_Borough,PU_zone,DO_Borough,DO_zone,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
110927,2,2023-02-02T07:15:22,2023-02-02T07:15:28,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
112106,2,2023-02-02T07:50:22,2023-02-02T07:50:32,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
24890,2,2023-02-01T11:57:44,2023-02-01T11:57:48,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,3,0,0.5,0,0,1,5.75
19199,2,2023-02-01T09:36:13,2023-02-01T09:36:39,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,3,0,0.5,0,0,1,5.75
8389,2,2023-02-01T07:49:06,2023-02-01T07:49:14,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,3,0,0.5,0,0,1,5.75
53856,2,2023-02-01T15:01:13,2023-02-01T15:01:17,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
35737,2,2023-02-01T13:18:09,2023-02-01T13:18:17,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
36320,2,2023-02-01T13:13:04,2023-02-01T13:13:09,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
43620,2,2023-02-01T14:18:53,2023-02-01T14:19:00,2,0.01,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
37788,2,2023-02-01T13:52:05,2023-02-01T13:52:25,5,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
43927,2,2023-02-01T14:21:09,2023-02-01T14:21:15,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,3,0,0.5,0,0,1,5.75
6075,2,2023-02-01T07:55:20,2023-02-01T07:55:34,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,No charge,-3,0,-0.5,0,0,-1,-5.75
19198,2,2023-02-01T09:36:13,2023-02-01T09:36:39,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,-3,0,-0.5,0,0,-1,-5.75
8388,2,2023-02-01T07:49:06,2023-02-01T07:49:14,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,-3,0,-0.5,0,0,-1,-5.75
43619,2,2023-02-01T14:18:53,2023-02-01T14:19:00,2,0.01,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,-3,0,-0.5,0,0,-1,-5.75
4619,2,2023-02-01T06:20:36,2023-02-01T06:20:54,1,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,-3,0,-0.5,0,0,-1,-5.75
24889,2,2023-02-01T11:57:44,2023-02-01T11:57:48,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,-3,0,-0.5,0,0,-1,-5.75
19742,2,2023-02-01T10:45:17,2023-02-01T10:45:47,2,0.01,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,-3,0,-0.5,0,0,-1,-5.75
112481,2,2023-02-02T07:52:36,2023-02-02T07:52:55,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Cash,-3,0,-0.5,0,0,-1,-5.75
50419,2,2023-02-01T15:36:35,2023-02-01T15:36:41,2,0,Standard rate,Queens,JFK Airport,Queens,JFK Airport,Dispute,-3,0,-0.5,0,0,-1,-5.75
5261,2,2023-02-01T07:29:37,2023-02-01T07:29:45,1,0,Negotiated fare,Queens,JFK Airport,Queens,JFK Airport,Cash,4,0,0,0,0,1,6.25
41090,2,2023-02-01T13:36:46,2023-02-01T13:37:23,1,0,Standard rate,Manhattan,Gramercy,Manhattan,Gramercy,Cash,3,0,0.5,0,0,1,7
28593,2,2023-02-01T11:39:09,2023-02-01T11:39:13,1,0.01,Standard rate,Manhattan,Clinton East,Manhattan,Clinton East,Cash,3,0,0.5,0,0,1,7
40836,2,2023-02-01T13:16:19,2023-02-01T13:17:18,1,0.02,Standard rate,Manhattan,Upper East Side South,Manhattan,Upper East Side South,Cash,3,0,0.5,0,0,1,7
